left_input,right_input,time,delta_time
1.161831,1.478695,1304304717.598526,0.060493
1.556789,1.796295,1304304717.648871,0.050346
1.994027,1.772469,1304304717.709273,0.060402
2.282776,2.168637,1304304717.759739,0.050466
2.243145,2.467460,1304304717.820312,0.060572
2.142837,2.593961,1304304717.870731,0.050420
2.457346,3.015834,1304304717.931216,0.060485
2.645703,3.196891,1304304717.991868,0.060652
2.778218,3.140594,1304304718.042361,0.050493
2.853317,3.652246,1304304718.092715,0.050353
2.795040,3.689453,1304304718.153245,0.060531
2.915108,3.587825,1304304718.203691,0.050445
3.076979,3.787051,1304304718.264257,0.060567
3.142093,3.815399,1304304718.314592,0.050335
3.142905,3.816384,1304304718.375064,0.060472
2.806439,4.041272,1304304718.425498,0.050433
2.916834,4.038693,1304304718.486004,0.060507
2.855572,4.097126,1304304718.536579,0.050575
2.857731,4.167524,1304304718.587127,0.050548
2.967438,4.133216,1304304718.647599,0.060471
3.141944,4.225373,1304304718.708135,0.060537
2.959320,4.438980,1304304718.758425,0.050290
2.927609,4.182299,1304304718.818799,0.060373
2.672425,3.955188,1304304718.869168,0.050369
2.679656,4.466094,1304304718.929649,0.060482
2.474174,4.161112,1304304718.990079,0.060430
2.354982,4.373538,1304304719.040557,0.050478
2.205062,4.410123,1304304719.101127,0.060570
2.127527,4.590980,1304304719.151443,0.050315
2.064970,4.818263,1304304719.211963,0.060521
1.770575,4.979743,1304304719.262352,0.050388
1.854129,5.017054,1304304719.322785,0.060434
1.780663,4.896822,1304304719.353029,0.030243
1.631863,5.711522,1304304719.413487,0.060459
1.461844,5.172680,1304304719.474058,0.060571
1.457916,5.607371,1304304719.524484,0.050426
1.396339,4.940890,1304304719.584960,0.060475
1.403649,5.614596,1304304719.635290,0.050331
1.469049,5.424180,1304304719.695822,0.060531
1.453349,5.142618,1304304719.746281,0.050460
1.623332,5.086441,1304304719.806783,0.060502
1.832620,4.581549,1304304719.867290,0.060507
2.078840,5.301041,1304304719.927866,0.060576
2.464279,4.256482,1304304719.988229,0.060362
2.468035,4.038603,1304304720.038725,0.050497
2.883842,3.993012,1304304720.099290,0.060565
3.069812,3.979386,1304304720.149627,0.050337
2.949744,3.792528,1304304720.209970,0.060343
3.070876,3.661430,1304304720.270339,0.060369
3.145668,3.629617,1304304720.321043,0.050703
3.264941,3.715278,1304304720.371457,0.050415
3.505053,3.618119,1304304720.431952,0.060495
3.592059,3.704311,1304304720.482241,0.050289
3.556742,3.556742,1304304720.542644,0.060402
4.256971,3.920894,1304304720.603291,0.060647
4.323909,4.076828,1304304720.653619,0.050328
4.180670,4.070652,1304304720.703974,0.050355
4.393218,4.055278,1304304720.764551,0.060578
4.486120,4.037508,1304304720.815017,0.050465
4.695367,3.912806,1304304720.875516,0.060500
4.262669,4.150493,1304304720.936035,0.060519
4.484758,4.148401,1304304720.986485,0.050450
4.456802,4.342525,1304304721.037055,0.050570
4.487463,4.372400,1304304721.097807,0.060752
3.961106,4.310615,1304304721.148293,0.050485
4.228528,4.562358,1304304721.208562,0.060270
4.072946,4.751770,1304304721.259142,0.050580
4.080053,4.939012,1304304721.319628,0.060485
4.111774,4.682854,1304304721.380224,0.060596
4.345675,5.146194,1304304721.430668,0.050445
4.035577,5.044471,1304304721.491017,0.060349
4.089629,5.033390,1304304721.551564,0.060547
4.034397,4.930929,1304304721.601930,0.050366
4.357736,5.045799,1304304721.662464,0.060534
4.002208,4.780415,1304304721.712847,0.050382
4.104770,4.548529,1304304721.773340,0.060494
3.888930,4.689592,1304304721.823757,0.050417
3.800514,4.519530,1304304721.884272,0.060515
3.670513,4.509488,1304304721.944543,0.060271
3.817969,4.604021,1304304722.005157,0.060614
4.006119,4.578422,1304304722.055498,0.050341
3.742337,4.622886,1304304722.116075,0.060576
3.924531,4.485178,1304304722.166371,0.050297
4.088426,4.542696,1304304722.226953,0.060581
4.237312,4.754057,1304304722.287560,0.060608
4.045295,4.719511,1304304722.338075,0.050515
4.291719,4.605747,1304304722.398797,0.060721
4.327611,4.669264,1304304722.459364,0.060568
4.286623,4.600278,1304304722.519891,0.060526
4.650585,4.650585,1304304722.580409,0.060518
4.446576,4.335412,1304304722.630854,0.050446
4.520617,4.625747,1304304722.691257,0.060402
4.626207,4.516059,1304304722.751619,0.060363
4.763397,4.763397,1304304722.802029,0.050410
5.009279,4.564010,1304304722.862378,0.060349
4.784590,4.898509,1304304722.922801,0.060422
